,Smiles,aug-cc-TDDFT,GP_aug-cc-TDDFT,aug-cc-IP,aug-cc-EA,TDDFT energy,DZP_IP,DZP_EA,RS-TDDFT,ID,xTB_IP,xTB_EA,xTB_opticalgap,xTB_osc_strength,xTB_GSolv,fp,n_rings,DZP_callibrated_IP,DZP_callibrated_EA,DZP_Callibrated_Opticalgap,aug-cc-callibrated_IP,aug-cc-callibrated_EA,aug-cc-callibrated_opticalgap,GP-aug-cc-callibrated_opticalgap,RS-callibrated_opticalgap
134,c1cc2nnsc2cn1,3.838151613507054,3.805358361044081,-8.36329213533877,-1.5053971908648076,3.8292366048991715,-8.272680749678186,-1.1805639494402467,3.9678446271554266,152518,-7.9746,-2.7871,4.062,0.0029,-0.295,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025711016880>,2,-8.259651627350209,-1.4381208926646265,3.955970203088552,-8.433702221725426,-1.672680244633326,3.868258221065507,3.848847209584639,4.345620436749806
68,c1nncc2nsnc12,2.857241301709445,2.718372650048834,-8.412993408383045,-2.2574685687437452,2.7499194532399582,-8.290826182046969,-1.9473420663224037,3.754747054481949,152987,-8.4158,-3.6724,3.884,0.0,-0.24,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257110318F0>,2,-8.696355020808294,-2.362162794598687,3.772596291766548,-8.90864369692715,-2.399526165671606,3.703566719428301,3.685950352798816,4.1807706899648736
65,c1ccc2sncc2c1,4.363239904238666,4.387478063992079,-7.537780824095106,-0.5497364702426489,4.454759996248093,-7.509593426285193,-0.24100405219171808,4.7193081446273695,153078,-7.169,-1.6023,4.449,0.1232,-0.35200000000000004,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025711037180>,2,-7.462262112912686,-0.20147247358468223,4.354653931636953,-7.566492674076947,-0.6999398772480838,4.2263234521531405,4.203010600461679,4.704029717681092
66,c1ccc2snnc2c1,3.9814418154054803,3.937349256070695,-8.01711136836245,-1.072399988363155,3.9846003038039015,-7.932807585516105,-0.7524106979162156,4.089338823450034,154579,-7.5973,-2.3168,4.197,0.0041,-0.336,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025711089C70>,2,-7.886196980134124,-0.9472399410328765,4.095045922349622,-8.027547601159672,-1.2865561774647918,3.9931646970263093,3.9723925784952345,4.47064693009793
91,c1nncc2snnc12,3.3238336787497236,3.218749642580906,-8.484535062559509,-1.8093678762796894,3.2256786681669336,-8.361853613781348,-1.4944940009938081,4.005889915451946,155492,-8.2191,-3.0601,3.884,0.0005,-0.273,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257110FC260>,2,-8.50165974090529,-1.7230677346707244,3.772596291766548,-8.696900750027378,-1.8968177533235442,3.703566719428301,3.685950352798816,4.1807706899648736
96,c1cc2cnsc2cn1,4.225796279149248,4.272854686774463,-7.886021425186624,-0.9981747411758388,4.319739400028807,-7.854749204301921,-0.6729695198711211,4.552626399507925,155661,-7.5331,-2.1206,4.377,0.2038,-0.344,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025711104D50>,2,-7.822651291421502,-0.7424539688658565,4.2804802146977154,-7.95843780354419,-1.1254727371533597,4.1597066649740455,4.1371197370426955,4.63734892122876
89,c1nncc2sncc12,3.559942120895891,3.4403510755992075,-8.227274599670583,-1.2887652616952905,3.4755794785536165,-8.096994760453235,-0.9636865925233132,4.195709040628794,156574,-7.9018,-2.4094,4.09,0.0041,-0.342,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025711138340>,2,-8.187593587813152,-1.0438922398232233,3.9848155374538106,-8.355334725363946,-1.3625823067860894,3.894164749412932,3.874471434247577,4.3715518575923795
121,c1cc2nsnc2cn1,3.5746338642539732,3.5127567742657058,-8.347934934295273,-1.9105731003519317,3.5221348530109573,-8.261292168480471,-1.5984598280423075,4.256005342543296,157043,-8.0177,-3.3637,4.425,0.0013,-0.275,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257111533B0>,2,-8.30231236229591,-2.03995367325333,4.329929359323874,-8.48009836311526,-2.146078367383436,4.204117856426775,4.181046979322019,4.681802785530316
58,c1ccc2cscc2c1,3.5832630356901367,3.622177125547484,-6.624764608292001,-0.6957161204695744,3.672509454220126,-6.5567414874862315,-0.42501549295107316,3.914263633760723,157512,-6.1247,-1.7241,3.635,0.1761,-0.304,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002571116C420>,2,-6.428605372685397,-0.32860260309509504,3.5160788540183514,-6.442328162397073,-0.7999396888175658,3.4731836637672653,3.4580777834748275,3.9501662689005577
93,c1cnc2cscc2n1,3.2521680378875284,3.2016832264480417,-8.156800006928702,-1.5153570658711684,3.2489871629685037,-8.045675208819729,-1.1626340497181369,3.6133960911102836,158647,-7.0293,-2.7067,3.135,0.08,-0.325,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257111A9C70>,2,-7.323985902427431,-1.3542024820518417,3.000983597495869,-7.41610889328438,-1.6066705167992834,3.010567086134664,3.000502343065213,3.4871051824260277
