,SMILES,UMAP_0,UMAP_1,global_cluster
251,C1=CN=CC=C1C2=CC=NC=C2,0.44649515,2.534576,-1
252,C1=CC=C(C=C1)CCCC2=CC=CC=N2,3.641954,1.5685383,4221
253,C1CC(=NC1)C2=CN=CC=C2,0.13253008,3.7696798,3299
254,C[N+]1=CC=C(C=C1)C2=CC=CC=C2,0.6649271,2.1222441,-1
255,C1=CN=CC=C1CCC2=CC=NC=C2,4.1711755,0.96129864,3315
256,C1CCC(C(C1)N)N,7.0223517,6.326617,-1
257,C1CCC(C(C1)N)(N)N,6.493129,7.95306,1836
258,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N,2.1281345,-0.5821204,4529
259,C1=CC(=CC=C1C(=O)C(=O)C2=CC=C(C=C2)N)N,2.890541,-0.59232485,-1
260,C1=CC(=CC(=C1)N)C(=O)C2=CC(=CC=C2)N,2.4092278,0.28333703,-1
261,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N,2.7328012,-0.5507636,-1
262,C1=CC(=CC(=C1)N)C(=O)C2=CC=C(C=C2)N,2.2261922,0.37746304,-1
263,C1=CC=C(C=C1)C(=O)C2=CC(=C(C=C2)N)N,1.628721,0.46069372,-1
264,C1=CC(=CC=C1C=CC(=O)C2=CC=C(C=C2)N)N,1.9848827,-1.8270327,-1
265,C(CCl)Cl,9.6902275,1.2025616,-1
266,C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2,-2.217966,3.4784443,-1
267,C1=CC=C(C=C1)CN2C=NC3=CC=CC=C32,-1.4348667,4.63456,-1
268,CC1=NC2=CC=CC=C2N1C3=CC=CC=C3,-1.1649967,4.35255,-1
269,CN1C2=CC=CC=C2N=C1C3CCCCC3,-1.2075334,4.607522,-1
270,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC=N4,-1.4957026,3.1299336,-1
271,C1=CC=C2C(=C1)C=CC3=C2N=CN3,-1.5802798,2.9186928,-1
272,CC1=CC=CC=C1C2=NC3=C(N2)C4=CC=CC=C4C5=CC=CC=C53,-1.2309362,3.4007049,-1
273,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)N,-1.5300444,3.1816082,-1
274,C1=CC(=CC=C1N)N,2.3474247,-0.11246656,-1
275,C1=CC=C(C=C1)N,2.3901625,-0.3305127,4936
276,C1=CC=C(C(=C1)N)N,0.8363985,1.1233878,5066
277,C1=CC(=C(C=C1N)N)N,-0.51702815,1.5736567,-1
278,C1=CC=C(C(=C1)N)N=NC2=CC=CC=C2N,0.82877225,1.3587329,-1
279,C1=NN=CO1,1.52277,2.5593128,4863
280,C1=NN=[C+]O1,1.3873793,4.4919267,-1
281,C1=NN=C(S1)Cl,3.1291745,2.3535705,-1
282,C1=NN=CS1,3.6127734,2.6043825,4358
283,C1=NN=C(S1)F,2.9147482,2.258119,-1
284,C1=NN=[C+]S1,2.7244835,4.411823,-1
285,C1=NN=C(S1)[S-],3.140543,2.2865007,-1
286,CCOC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C,4.6497426,-0.5629535,-1
287,C1=CC=C(C=C1)C2=NC(=NC(=N2)C3=CC=CC=C3)C4=CC=CC=C4,-0.123540096,3.1962879,-1
288,CC1=NC(=NC(=N1)C2=CC=CC=C2)C3=CC=CC=C3,-0.17132677,3.3340547,4957
289,C1=CC=C(C=C1)C2=NC(=NC(=N2)Cl)C3=CC=CC=C3,-0.09935506,3.3178332,4850
290,CC1=CC=C(C=C1)C2=NC(=NC(=N2)C3=CC=C(C=C3)C)C4=CC=C(C=C4)C,0.14933552,3.06644,-1
291,C1=CC(=CC(=C1)N)N,1.385556,0.3583497,-1
292,C1=C(C=C(C=C1N)N)N,-0.044500254,1.3562046,-1
293,C1=C(C(=C(C(=C1F)F)N)F)N,-0.4039094,1.0344328,4411
294,C1=CC(=C(C=C1N)N)F,0.6741946,0.89188564,-1
295,C1=NC=NC=N1,1.3467981,1.9990177,4146
