SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1
CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C)O)C)O)F,6446,3.764,3.798,1.5474,3.972929,-2.2165999999999997,0.1749290000000001,0.0053,0.032162,0.026862000000000004,2.861183013205369,3.5430078227394093
CC1=C(C=CC=N1)C2=CC=CC=C2,597839,4.468,4.703,3.4667,4.680583,-1.0013,-0.02241699999999991,0.0284,0.063541,0.035141,3.591312307236341,4.528959296893628
CC=CC=NNC(=O)C1=CC=NC=C1,5369886,3.188,4.544,3.2456,4.225074,0.057599999999999874,-0.3189259999999994,1.1405,0.013511,-1.126989,2.634046227789204,4.375692348464612
COC1=NC=CC=N1,136730,4.481,4.624,3.8551,4.378896,-0.6258999999999997,-0.24510399999999954,0.0081,0.004547,-0.0035529999999999997,3.823487833058031,4.425253462543428
CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)O,3965,4.213,4.195,3.6146,4.165068,-0.5984000000000003,-0.029932000000000514,0.0014,0.00196,0.00056,3.159154119297794,4.166453136891053
C1=CC(=C(C=C1F)F)N=[N+]=[N-],43154601,3.827,4.149,3.1659,3.760986,-0.6610999999999998,-0.3880140000000001,0.0021,0.000206,-0.0018939999999999999,3.0757688402328234,3.8711100084977654
C1=CC(=C[N+](=C1)[O-])O,23069,2.615,3.141,2.354,4.090728,-0.2610000000000001,0.9497280000000003,0.0,3e-06,3e-06,2.6104236048086404,3.9228664131970383
C1CCC(CC1)(N)N,17842493,6.386,6.401,5.4603,5.61191,-0.9257,-0.7890899999999998,0.049,0.035242,-0.013758,5.590384944974043,5.801643827567028
C1CC(C2=C(C1)C3=CC=CC=C3N2)C(=O)N,4262314,3.619,4.408,3.1829,4.522813,-0.43610000000000015,0.11481299999999983,0.1372,0.071727,-0.06547299999999999,3.1604707114391455,4.42566705126006
C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C=O,69504,1.963,3.001,1.6161,2.919676,-0.3469,-0.08132399999999995,0.0339,0.10289,0.06899,1.4813019346519491,2.810743753035056
C1=CC(=CC=C1CN)Cl,66036,4.939,5.022,3.6273,5.06513,-1.3117,0.04312999999999967,0.0008,0.004017,0.003217,3.5915656208383693,5.011279064010544
CC1=CC=CC=C1CNC,263103,4.936,4.966,3.6982,5.093989,-1.2378,0.12798899999999946,0.0,0.000147,0.000147,3.685860723049701,5.022652360919733
C(Cl)Cl,160586,6.853,6.854,5.8965,6.467362,-0.9565000000000001,-0.3866380000000005,0.0001,0.000111,1.0999999999999996e-05,5.93785493247124,6.492361218626711
C1=NC(=NS1)Br,21750338,4.498,5.613,3.656,5.020206,-0.8420000000000001,-0.5927940000000005,0.0042,0.000348,-0.0038519999999999995,3.7102772939391615,5.1670529225001935
CC1=C(C=CN1)N,20624744,4.186,4.379,3.7985,3.967728,-0.38749999999999973,-0.4112719999999994,0.0125,0.007518,-0.004982,4.018560534348026,4.550907818951581
C1COCCN1,12196069,5.628,5.648,5.2353,5.419839,-0.3927000000000005,-0.22816100000000006,0.0078,0.002197,-0.0056029999999999995,5.541612835447526,5.6720923054355
CC1C2=CC=CC=C2NC3=CC=CC=C13,15364035,3.599,4.18,3.3289,4.094246,-0.27010000000000023,-0.08575399999999966,0.0019,0.033051,0.031150999999999998,3.3431073982790167,4.215642776516601
B(C1=CC2=CC=CC=C2S1)(O)O,2359,3.456,4.277,2.9393,4.324306,-0.5167000000000002,0.04730599999999985,0.1205,0.079178,-0.041322,2.9018563477198267,4.241144844571735
C1=CC=C2C(=C1)NC(=N2)C3=CC=CC=N3,70821,3.553,4.274,2.8599,3.9819,-0.6930999999999998,-0.2921,0.6324,0.616261,-0.016139000000000014,2.8693431251213113,3.990270036671466
C(=O)(C(Cl)(Cl)Cl)O,14932067,5.874,5.893,4.5728,5.140986,-1.3011999999999997,-0.752014,0.0126,0.004527,-0.008073,5.540438566501933,6.079429828354905
[H+].C(=O)(C(Cl)(Cl)Cl)[O-],23223116,3.197,3.29,4.5733,5.141426,1.3762999999999996,1.851426,0.0609,0.004527,-0.056373000000000006,2.19619774885197,3.007597630790514
CC(C(=O)O)C(CC(=O)O)(C(=O)O)O,515,5.591,5.603,4.8776,5.318881,-0.7134,-0.28411899999999957,0.0194,0.006785,-0.012615000000000001,4.772873101697949,5.401700406262735
C1=NC=[N+](C=N1)[S-],67631393,1.7,2.054,1.4803,2.398443,-0.2197,0.34444300000000005,0.0,0.0,0.0,1.780817685380873,2.8011744684972464
CCCCOC1=CC=CC=C1N2CCNCC2,14479837,3.465,4.0,3.6734,4.469439,0.20840000000000014,0.4694390000000004,0.0918,0.000434,-0.091366,3.4133426453920634,4.309197087598563
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,995,3.554,3.983,2.7472,3.956441,-0.8068,-0.02655900000000022,0.0,0.002131,0.002131,2.9232820694410115,3.8570297640646274
