,SMILES,UMAP_0,UMAP_1
222,CNC(=O)N1C=C(C(=O)NC1=O)F,-0.06258809,4.4502707
223,C1=CC(=CC(=C1)O)CCC(=O)O,3.660273,0.5141376
224,C1CSC(=S)SC1,3.79935,6.7864447
225,C1=CC=C(C=C1)OP(=O)(O)OC2=CC=CC=C2,3.9369624,-2.1499488
226,CN1CCN(CC1)C2=NC(=NC=C2)N,1.9475713,4.5612893
227,C=C1SCCCS1,3.5443985,6.579016
228,C1CC1N2C3=C(C=NC=C3)NC2=O,0.24927393,4.769121
229,C1=CC=C2C(=C1)C=CC3=C2C(=O)C(=O)C=C3,-1.4144367,3.2051997
230,C1=CN(N=C1)CN2C=CC=N2,5.4818916,2.8317657
231,CCCCC(CC)COC(=O)C=CC1=CC=C(C=C1)OC,2.822689,-2.0490875
232,CC#CC(C)(C)C,3.3994024,-1.1793678
233,CC(CC(=O)OC)C1=CC=CC=C1,4.6213117,-0.9082782
234,C1=CN2C=NN=C2C(=C1)N,0.9404155,3.4966786
235,CCCCCCOC(=O)C(CC)Br,7.514653,0.90563524
236,C1=CC(=CC=C1C2=C(C=C(C=C2)Cl)Cl)Cl,0.30468822,1.9138671
237,C1=CN=C(N=C1N)N,1.379987,3.0641887
238,CCNC(=O)N,7.380808,1.6726224
239,CC1=C(C=CC=C1C(=O)O)C2=CC=CC=C2,0.14849319,1.9282047
240,CC1=CC(=CN=C1)C,0.73875237,1.823783
241,N(=O)[O],5.0880413,-1.9022685
242,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,0.8281344,3.283468
243,CC1=NC2=C(S1)C=C(C=C2)O,-0.94874257,2.0986476
244,C1=CN=C(C=N1)C(=O)[O-],3.7479215,1.7627305
245,C1C2CC3CC1CC(C2)C3CCN,6.64414,3.6380727
246,CC(=O)OCCOC(=O)C,2.2368178,-0.5168975
247,CC1=CC(=C(C=C1)N=NC2=C(C=C(C=C2)C)C)C,1.2056768,0.0064026373
248,CCCCC#CCC,3.620358,-2.9223216
249,C1=CC=C(C=C1)CN=C(N)NC#N,4.908228,-0.09283858
250,CC(=CC1=CC(=NN1)C2=NNC(=C2)C=C(C)C)C,0.6374048,2.6772823
251,CC(CC(=O)O)C1=CC=CC=C1,5.0244284,-0.8675312
252,CC(C)OC1=CC=CC=C1OC(=O)N(C)N=O,0.8995229,-0.8701068
253,C1=CC=C(C(=C1)CC#N)C#N,1.4336845,1.3034887
254,CC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,1.50504,6.8256063
255,COC(=O)NC(=S)OC,4.221888,2.4650025
256,CNC(=O)OC1=CC=CC=C1OCC#C,0.7107323,-0.59902084
257,C1=CC(=CC=C1CC(C#N)C2=CC=C(C=C2)O)O,4.208785,-0.6705871
258,C(=[OH+])=O,6.5654445,0.68426925
259,C1=C(C=NC=N1)[N+](=O)[O-],-1.5897781,0.8878335
260,CCC1(SCCCS1)C,5.50754,4.5266147
261,CC[Si](CC)(C1=CC=CC=C1)C2=CC=CC=C2,5.34528,-1.6736127
262,C(=NO)C(=O)C=NO,0.6199141,-1.2698551
263,CC1=CC=C(C=C1)SC2=CC=COC2=O,5.0747743,1.735719
264,CN1C=NC2=CC=CC=C21,-1.0357413,4.08482
265,CC1CN(C(=O)N(C1=O)C)C,3.0874467,6.016638
266,CC1=CC=CC=C1CCC2=NCCN2,2.3510404,4.1604066
267,CC(=O)C1=CC(=CC=C1)C(F)(F)F,2.12801,-0.53182626
268,CC#CCCCC1=CC=CC=C1,5.536744,-0.09256566
269,C(C(=O)O)N,8.276091,1.3284082
270,B1(OC(=O)CN(CC(=O)O1)C)C=C,2.3282173,2.4242818
271,C1=COC(=C1)CN=C(N)N,5.783687,1.0647217
272,CC(C)OC(=O)C=CC(=O)OC(C)C,6.844454,-0.23280057
273,C=N[O-],8.830985,0.38974017
274,CC1=CC(=CC=C1)F,3.0807748,-0.06579657
275,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCN,-1.7178031,3.028933
276,C1=NNC(=N1)N,4.3138876,1.8734635
277,C1=CN=C(N1)CNCC2=NC=CN2,5.307755,2.1063788
278,C1=CC(=CC(=C1)F)C(=O)C(F)(F)F,2.9986851,-0.033512034
279,C1=C(C(=O)NC(=O)N1)F,-1.6536458,2.945679
280,C1=CC=C(C=C1)C(C(=O)O)N,4.4752464,-1.4303268
281,C1CC[CH+]C1,2.9182322,4.3339515
