SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1,xtb_ML_S1fL,xtb_Lin_T1,xtb_Lin_S1,xtb_Lin_S1fL
CCCCSCC(C)O,3041052,5.355,5.365,4.8763,5.266279,-0.4787000000000008,-0.09872100000000028,0.0011,0.001743,0.0006429999999999999,4.800608744999645,5.190283651500337,-0.008663974568572496,4.429999000524648,5.081835917715141,0.022443887859913327
C1COC1,23270599,6.461,6.462,6.064,6.320266,-0.39700000000000024,-0.14173399999999958,0.0123,0.012474,0.00017400000000000054,6.2811958440839915,6.32713294542089,0.005133069732481692,5.274075749842343,5.9374464757778815,0.02478568093590605
CC1=NC(=CC=C1)C2=CC=NN2,1124729,3.813,4.782,3.2434,4.716108,-0.5696000000000003,-0.06589199999999984,0.4787,0.001159,-0.477541,3.301676185214615,4.6721296665880665,0.12752656686240754,3.255234068867438,4.630655340425442,0.22739572349899978
COC1=CC2=C(C=C1)C=C(C=C2)OC,79627,2.842,3.696,2.4138,3.682729,-0.4281999999999999,-0.013271000000000033,0.1365,0.07458,-0.06192000000000002,2.5251640090604006,3.8112661820337,0.09341106756758412,2.513248186855443,3.7866476983456208,0.08073170398724872
CC1=CC2=C(C1)C=C3CCCC3=C2,10953964,3.388,4.412,2.8765,4.473189,-0.5114999999999998,0.061188999999999716,0.0014,0.005115,0.0037149999999999996,2.920364724128925,4.434504825356544,-0.05018526351506735,2.920481245672644,4.338442102771472,0.02310018613540348
CC1(OCCO1)CO,12384726,6.546,6.549,6.1645,6.292337,-0.38149999999999995,-0.25666300000000053,0.0011,0.003176,0.0020759999999999997,6.2094841595168795,6.4821416819835775,-0.008451099566206249,5.338892021915914,6.005004380734545,0.01980464954008767
CCCC(=CC=C)C,5368944,3.497,5.488,2.7148,5.239327,-0.7822,-0.24867300000000014,1.0416,0.677944,-0.3636560000000001,2.743451406480727,4.744614961824917,0.4561918208740132,3.0093212812181815,5.181975684422055,0.4828610659438144
C1=CC2=C(C=CC(=C2)SSC3=CC4=C(C=C3)C=C(C=C4)O)C=C1O,22463,3.028,3.753,2.6382,3.541984,-0.38980000000000015,-0.21101600000000031,0.2165,0.229856,0.013356000000000007,2.514873256565752,3.4502664033676873,0.07295481419013375,2.6562609024474075,3.8338330904031634,0.11560055692038052
C1=C(OC(=C1)C#N)CN,11083882,3.526,5.02,3.1287,4.864888,-0.3973,-0.15511199999999992,0.5374,0.016445,-0.520955,2.989416542056343,4.945237712022056,0.43074265256066435,3.0282581948232368,4.8113167797263685,0.2466583439317349
C1=CC=C(C=C1)C(=O)CCCCC(=O)O,223595,3.484,3.433,3.2775,3.771628,-0.20650000000000013,0.3386280000000004,0.0012,7e-06,-0.0011929999999999998,2.749705653103567,3.439264530062721,0.0025193271864920874,2.9960695049164796,3.566928744978014,0.022485695515343462
C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,64961,3.383,4.013,3.1735,3.952469,-0.2094999999999998,-0.06053100000000011,0.0909,0.047656,-0.043244,2.956220611999038,3.996553277961641,0.07803304033015704,2.9179284754910984,4.022031209202162,0.06024323506458056
